game_id,home_wins,odds,amount
0021400885,L,-110,1
0021400886,W,-110,1
0021400890,L,-110,1
0021400892,L,-110,1
0021400893,W,-110,1
0021400894,L,-110,1
0021400895,W,-110,1
0021400896,W,-110,1
0021400897,L,-110,1
0021400898,L,-110,1
0021400899,L,-110,1
0021400900,W,-110,1
0021400901,W,-110,1
0021400902,W,-110,1
0021400903,L,-110,1
0021400904,L,-110,1
0021400906,W,-110,1
0021400907,L,-110,1
0021400909,L,-110,1
0021400910,W,-110,1
0021400911,W,-110,1
0021400912,L,-110,1
0021400913,W,-110,1
0021400914,L,-110,1
0021400915,L,-110,1
0021400916,L,-110,1
0021400917,W,-110,1
0021400918,W,-110,1
0021400919,L,-110,1
0021400921,L,-110,1
0021400922,W,-110,1
0021400923,W,-110,1
0021400924,W,-110,1
0021400925,W,-110,1
0021400926,W,-110,1
0021400927,W,-110,1
0021400928,W,-110,1
0021400929,W,-110,1
0021400930,W,-110,1
0021400931,W,-110,1
0021400933,L,-110,1
0021400934,L,-110,1
0021400935,W,-110,1
0021400936,L,-110,1
0021400937,L,-110,1
0021400938,L,-110,1
0021400939,W,-110,1
0021400940,L,-110,1
0021400941,L,-110,1
0021400942,L,-110,1
0021400943,W,-110,1
0021400944,L,-110,1
0021400945,W,-110,1
0021400946,L,-110,1
0021400947,L,-110,1
0021400948,L,-110,1
0021400949,W,-110,1
0021400951,W,-110,1
0021400952,L,-110,1
0021400953,L,-110,1
0021400954,W,-110,1
0021400955,L,-110,1
0021400956,W,-110,1
0021400957,L,-110,1
0021400958,W,-110,1
0021400960,L,-110,1
0021400961,L,-110,1
0021400962,L,-110,1
0021400964,L,-110,1
0021400967,W,-110,1
0021400968,L,-110,1
0021400969,L,-110,1
0021400970,W,-110,1
0021400971,W,-110,1
0021400972,W,-110,1
0021400974,W,-110,1
0021400975,W,-110,1
0021400976,L,-110,1
0021400977,L,-110,1
0021400978,L,-110,1
0021400979,L,-110,1
0021400980,W,-110,1
0021400981,W,-110,1
0021400982,W,-110,1
0021400983,L,-110,1
0021400984,L,-110,1
0021400985,W,-110,1
0021400986,W,-110,1
0021400987,L,-110,1
