Date,Season,player_size,atb3_pps,c3_pps,mid_pps,ra_pps,paint_pps
36938,2000,Small,1.114817947,1.166653268,0.917283229,1.620413334,1.107087088
36938,2000,All,1.098536837,1.165530612,0.897566099,1.616553453,1.085047375
36939,2000,Big,1.007411469,1.153349294,0.861752737,1.612977815,1.06619397
36939,2000,Small,1.113318964,1.168996424,0.918344362,1.620223251,1.106617518
36939,2000,All,1.097035323,1.166798688,0.898096315,1.616723901,1.085646033
36940,2000,Big,1.005001825,1.163445387,0.86255192,1.611526151,1.066399004
36940,2000,Small,1.112651287,1.168566561,0.919111163,1.620897607,1.106094287
36940,2000,All,1.096054108,1.167846427,0.898893883,1.616368297,1.085532687
36941,2000,Big,1.00661826,1.156445978,0.860790542,1.612056476,1.065537113
36941,2000,Small,1.112542632,1.167604424,0.919689675,1.623197957,1.104510157
36941,2000,All,1.096197951,1.166036636,0.898612392,1.617805596,1.084311896
36942,2000,Big,1.008209281,1.158464734,0.861469743,1.61259006,1.065142564
36942,2000,Small,1.114391574,1.171047064,0.919704196,1.623284404,1.104539851
36942,2000,All,1.097956787,1.169282843,0.898861956,1.618106433,1.084114142
36943,2000,Big,1.008890624,1.16280924,0.862081759,1.61242894,1.066101809
36943,2000,Small,1.113276805,1.176184857,0.918963255,1.623515686,1.106188356
36943,2000,All,1.097180216,1.174304554,0.898617512,1.618140804,1.085403046
36944,2000,Big,1.010629055,1.163808907,0.86208471,1.613718889,1.067058898
36944,2000,Small,1.113751423,1.175707369,0.919407751,1.624739444,1.105364972
36944,2000,All,1.097892502,1.1740458,0.898918991,1.619404653,1.0855064
36945,2000,Big,1.008882735,1.174755831,0.861992366,1.613008072,1.067357428
36945,2000,Small,1.114371685,1.175084631,0.919440393,1.624207861,1.105134662
36945,2000,All,1.098112361,1.175038577,0.898893957,1.618779752,1.085538033
36946,2000,Big,1.009240728,1.167732073,0.860522451,1.611862836,1.06820885
36946,2000,Small,1.113132393,1.177171664,0.919985104,1.623052706,1.104020958
36946,2000,All,1.097163008,1.175852341,0.898692285,1.617631122,1.085435131
36947,2000,Big,1.012376137,1.16737942,0.8608365,1.609968324,1.069011022
36947,2000,Small,1.112292976,1.175557781,0.919694795,1.623202424,1.10627125
36947,2000,All,1.096919256,1.174418868,0.898586518,1.616786146,1.086920155
36948,2000,Big,1.013827809,1.176724286,0.86046049,1.60826111,1.068962581
36948,2000,Small,1.112008905,1.176934189,0.920341125,1.623148564,1.106699112
36948,2000,All,1.096923084,1.176904895,0.898879465,1.615922531,1.087119099
36949,2000,Big,1.00911661,1.181462807,0.859655554,1.607890837,1.07085766
36949,2000,Small,1.110402558,1.183291023,0.920369577,1.621071731,1.104861144
36949,2000,All,1.094849377,1.183036625,0.898602119,1.614675646,1.087228541
36950,2000,Big,1.010574036,1.179809721,0.859878601,1.60846298,1.071100151
