Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT_Freq,TO_Freq,SF_Freq,AndOne_Freq,Score_Freq,Percentile,Playtype,Side
Brooklyn Nets,14,119,7.9%,1.13,135,59,98,60.2,60.2,10.9%,9.2%,10.9%,2.5%,57.1%,65.5,cut,defensive
Oklahoma City Thunder,15,110,6.5%,1.25,137,56,87,64.4,64.4,20.0%,8.2%,16.4%,7.3%,62.7%,17.2,cut,defensive
Los Angeles Lakers,13,112,7.8%,1.22,137,55,90,61.1,61.1,17.9%,4.5%,17.0%,2.7%,63.4%,27.6,cut,defensive
Atlanta Hawks,15,119,7.2%,1.17,139,60,91,65.9,65.9,14.3%,12.6%,12.6%,3.4%,59.7%,55.2,cut,defensive
Sacramento Kings,15,111,6.5%,1.26,140,65,97,67.0,67.0,12.6%,5.4%,12.6%,5.4%,64.9%,10.3,cut,defensive
Memphis Grizzlies,14,127,8.5%,1.10,140,55,98,56.1,56.1,18.9%,7.1%,15.7%,3.1%,57.5%,86.2,cut,defensive
New Orleans Pelicans,14,107,7.0%,1.32,141,58,87,66.7,66.7,16.8%,7.5%,15.0%,5.6%,64.5%,0.0,cut,defensive
Orlando Magic,14,137,8.8%,1.04,143,62,111,55.9,55.9,13.9%,8.8%,13.1%,3.6%,53.3%,93.1,cut,defensive
Charlotte Hornets,14,123,8.2%,1.28,158,68,106,64.2,64.2,12.2%,4.1%,12.2%,2.4%,65.0%,6.9,cut,defensive
Toronto Raptors,15,133,8.4%,1.19,158,69,109,63.3,63.3,10.5%,9.0%,10.5%,1.5%,60.2%,41.4,cut,defensive
New York Knicks,15,134,8.3%,1.19,160,59,101,58.4,58.4,23.9%,6.7%,20.9%,6.0%,60.4%,37.9,cut,defensive
Milwaukee Bucks,14,145,9.5%,1.12,163,62,109,56.9,56.9,18.6%,8.3%,15.2%,2.1%,59.3%,79.3,cut,defensive
Houston Rockets,14,142,9.0%,1.17,166,70,119,58.8,58.8,14.1%,5.6%,14.1%,3.5%,58.5%,51.7,cut,defensive
Washington Wizards,10,43,3.9%,0.77,33,13,40,32.5,37.5,4.7%,4.7%,4.7%,2.3%,32.6%,86.2,off-screen,defensive
