gameid,teamid,location
20001125,1610612748,away
20001126,1610612741,away
20001127,1610612739,away
20001128,1610612761,away
20001129,1610612752,away
20001130,1610612742,away
20001131,1610612744,away
20001132,1610612755,away
20001133,1610612751,away
20001134,1610612762,away
20001135,1610612758,away
20001136,1610612750,away
20001137,1610612757,away
20001138,1610612737,away
20001139,1610612739,away
20001140,1610612753,away
20001141,1610612748,away
20001142,1610612738,away
20001143,1610612762,away
20001144,1610612758,away
20001145,1610612744,away
20001146,1610612760,away
20001147,1610612750,away
20001148,1610612745,away
20001149,1610612765,away
20001150,1610612761,away
20001151,1610612743,away
20001152,1610612746,away
20001153,1610612745,away
20001154,1610612751,away
20001155,1610612752,away
20001156,1610612739,away
20001157,1610612753,away
20001158,1610612766,away
20001159,1610612754,away
20001160,1610612762,away
20001161,1610612758,away
20001162,1610612757,away
20001163,1610612742,away
20001164,1610612749,away
20001165,1610612737,away
20001166,1610612752,away
20001167,1610612756,away
20001168,1610612742,away
20001169,1610612763,away
20001170,1610612741,away
20001171,1610612749,away
20001172,1610612764,away
20001173,1610612765,away
20001174,1610612755,away
20001175,1610612750,away
20001176,1610612746,away
20001177,1610612743,away
20001178,1610612759,away
20001179,1610612766,away
20001180,1610612765,away
20001181,1610612741,away
20001182,1610612761,away
20001183,1610612748,away
20001184,1610612754,away
20001185,1610612750,away
20001186,1610612758,away
20001187,1610612762,away
20001188,1610612763,away
20001189,1610612759,away
20100001,1610612738,away
20100002,1610612764,away
20100003,1610612754,away
20100004,1610612761,away
20100005,1610612755,away
20100006,1610612765,away
20100007,1610612737,away
20100008,1610612746,away
20100009,1610612749,away
20100010,1610612743,away
20100011,1610612760,away
20100012,1610612757,away
20100013,1610612751,away
20100014,1610612739,away
20100015,1610612761,away
20100016,1610612754,away
20100017,1610612744,away
20100018,1610612764,away
20100019,1610612742,away
20100020,1610612765,away
20100021,1610612746,away
20100022,1610612749,away
20100023,1610612747,away
20100024,1610612759,away
20100025,1610612756,away
20100026,1610612742,away
20100027,1610612753,away
20100028,1610612741,away
20100029,1610612739,away
20100030,1610612752,away
20100031,1610612751,away
20100032,1610612763,away
20100033,1610612756,away
20100034,1610612755,away
20100035,1610612748,away
20100036,1610612753,away
20100037,1610612766,away
20100038,1610612762,away
20100039,1610612752,away
20100040,1610612738,away
20100041,1610612750,away
20100042,1610612758,away
20100043,1610612759,away
20100044,1610612744,away
20100045,1610612742,away
20100046,1610612754,away
20100047,1610612764,away
20100048,1610612745,away
20100049,1610612757,away
20100050,1610612759,away
20100051,1610612762,away
20100052,1610612760,away
20100053,1610612737,away
20100054,1610612754,away
20100055,1610612758,away
20100056,1610612760,away
20100057,1610612752,away
20100058,1610612753,away
20100059,1610612766,away
20100060,1610612743,away
20100061,1610612763,away
20100062,1610612762,away
20100063,1610612764,away
20100064,1610612744,away
20100065,1610612739,away
20100066,1610612758,away
20100067,1610612765,away
20100068,1610612737,away
20100069,1610612763,away
20100070,1610612759,away
20100071,1610612760,away
20100072,1610612748,away
20100073,1610612741,away
20100074,1610612743,away
