Season,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2006,255,Kendrick Perkins,C,22,BOS,72,1576,9.5,0.518,0.011,0.372,8.4,20.1,14.1,9.4,0.8,4.7,26.5,12.2,-0.6,1.9,1.4,0.042,-3.8,3.2,-0.6,0.5
2005,200,Kendrick Perkins,C,21,BOS,68,1332,13.2,0.548,0.008,0.489,13.1,23.6,18.5,8.1,0.8,6,24.9,14.8,0.3,2,2.3,0.082,-3,3.1,0,0.7
2004,303,Kendrick Perkins,C,20,BOS,60,548,11.2,0.515,0,0.487,11.5,25.7,18.7,5.8,0.8,5.1,22.9,15.4,-0.1,0.8,0.7,0.065,-4.7,1.5,-3.2,-0.2
2003,371,Kendrick Perkins,C,19,BOS,10,35,22.8,0.58,0,0.6,16.7,28.9,22.9,17.4,0,4.4,20.9,31.1,0.1,0,0.1,0.145,-0.9,-0.3,-1.3,0
2014,63,Kenneth Faried,PF,25,DEN,75,2086,18.4,0.548,0.011,0.391,12.1,22.9,17.3,7.1,1.5,2.1,12,20.3,3.5,2.1,5.6,0.13,-0.2,0.9,0.8,1.4
2013,49,Kenneth Faried,PF,24,DEN,80,2178,19.8,0.573,0.004,0.379,11.8,22.2,16.9,7.5,1.6,2.3,12.4,21.3,4,2.5,6.5,0.144,0.3,0.9,1.2,1.8
2012,27,Kenneth Faried,PF,23,DEN,80,2248,18.5,0.573,0,0.386,13.2,23.2,18.3,5.1,1.8,2.9,12.3,17.7,4.5,3.4,7.8,0.167,0.8,1.5,2.2,2.4
2011,70,Kenneth Faried,PF,22,DEN,46,1037,21.9,0.618,0,0.531,16.5,22.9,19.8,5.5,1.7,3.6,12.4,18.7,3.2,1.3,4.6,0.212,2.3,1,3.4,1.4
2004,345,Kenny Anderson,PG,34,TOT,43,743,10.1,0.467,0.065,0.184,3.6,10.5,6.9,22.2,2.3,0,18.4,16.1,-0.1,0.3,0.2,0.011,-2.9,-1.5,-4.4,-0.4
2003,231,Kenny Anderson,PG,33,IND,44,905,11.1,0.473,0.016,0.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,0.4,1.1,1.5,0.079,-2.3,-0.4,-2.6,-0.1
2002,222,Kenny Anderson,PG,32,TOT,61,1135,13.6,0.457,0.018,0.149,3.2,10.6,6.8,29.8,2.8,0.3,15.6,19.7,0.4,1.3,1.6,0.069,-1.9,-0.3,-2.1,0
2001,87,Kenny Anderson,PG,31,BOS,76,2430,13.6,0.472,0.046,0.184,2.5,10.1,6.2,28.1,3,0.3,13.3,16.7,1.7,3.5,5.2,0.103,-1.5,1.1,-0.3,1
2000,251,Kenny Anderson,PG,30,BOS,33,849,12.2,0.476,0.145,0.313,2.1,8.2,5,26.5,2.7,0.2,16.8,16.6,0.4,0.7,1.1,0.063,-2,-1.3,-3.2,-0.3
2002,426,Kenny Satterfield,PG,21,TOT,39,502,4.8,0.34,0.153,0.137,3.6,6.6,5,23.1,2.1,0.3,18.1,21,-1.4,0.5,-1,-0.091,-6.2,-1.5,-7.7,-0.7
2001,426,Kenny Satterfield,PG,20,DEN,36,560,11.5,0.431,0.136,0.231,3.3,7.5,5.3,31.8,2.9,0.1,19.5,21.8,-0.5,0.3,-0.2,-0.014,-2.8,-1.9,-4.7,-0.4
2009,342,Kenny Thomas,PF,32,SAC,26,313,9,0.509,0,0.343,12.6,18.9,15.7,6.5,1.6,2.3,29.7,8.1,0.1,0.3,0.4,0.059,-3.2,2.1,-1.1,0.1
2008,367,Kenny Thomas,PF,31,SAC,8,62,8.8,0.375,0,0,7.5,20.9,14.1,2.3,4.9,1.2,11.1,6.5,0,0.1,0.1,0.056,-4.6,2.6,-2,0
2007,441,Kenny Thomas,PF,30,SAC,23,281,2.6,0.398,0,0.132,7.7,17.7,12.8,6.5,1.1,0.3,34.3,9.7,-0.5,0.2,-0.3,-0.047,-6,0.1,-5.9,-0.3
2006,275,Kenny Thomas,PF,29,SAC,62,1412,10.2,0.492,0.003,0.251,10.9,20.6,15.7,8.4,1.5,0.9,21.1,13.6,-0.1,1.4,1.2,0.041,-3.1,1.2,-1.8,0.1
2005,77,Kenny Thomas,PF,28,SAC,82,2293,15,0.539,0.002,0.338,10.3,21.2,15.8,12,1.6,1.2,16.3,16.6,2.2,3.3,5.5,0.115,-1.1,1.8,0.7,1.6
2004,119,Kenny Thomas,PF,27,TOT,73,2167,15.2,0.515,0.006,0.291,9.5,18.3,13.8,11.7,1.6,0.6,12.9,20.7,1.9,2.4,4.3,0.096,-1.3,0.2,-1.1,0.5
2003,60,Kenny Thomas,PF,26,PHI,74,2699,15.9,0.527,0.006,0.397,11.5,21.1,16.4,7.7,1.7,1,15.3,19.6,2.9,3.7,6.6,0.118,-0.5,1,0.6,1.8
2002,108,Kenny Thomas,PF,25,TOT,66,1978,14.9,0.517,0,0.352,10.9,20.5,15.6,9.4,1.7,1.1,15.2,17.4,2.1,2.5,4.6,0.111,-0.7,0.9,0.2,1.1
2001,114,Kenny Thomas,PF,24,HOU,72,2484,16.4,0.52,0.019,0.405,7.2,16.7,11.9,10,1.9,1.8,12.8,20.9,2.6,1.9,4.4,0.085,-0.5,0.6,0.1,1.3
2000,190,Kenny Thomas,PF,23,HOU,74,1820,11.2,0.507,0.198,0.271,8,18.3,13.3,6.7,1.2,1.6,18.2,16.1,0.5,1.7,2.2,0.058,-1.9,0.4,-1.5,0.2
2014,255,Kent Bazemore,SG,25,ATL,75,1324,9.7,0.52,0.399,0.302,1.9,16.8,9.6,8.6,2,2.1,16.3,15.5,-0.4,1.9,1.6,0.057,-3.1,1.3,-1.8,0.1
2013,363,Kent Bazemore,SG,24,TOT,67,911,11.2,0.515,0.373,0.318,1.2,12.6,6.9,15.7,2.3,1,16.8,22.6,-0.6,0.8,0.2,0.011,-2.1,-0.4,-2.5,-0.1
2012,375,Kent Bazemore,SG,23,GSW,61,267,11.3,0.454,0.293,0.379,2.1,6.8,4.5,13.1,3.2,1.2,11.7,25.7,-0.3,0.3,0.1,0.014,-3.4,-1.5,-4.9,-0.2
2014,176,Kentavious Caldwell-Pope,SG,21,DET,82,2587,11.2,0.501,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,1.1,1.8,2.8,0.052,-0.2,-0.9,-1,0.6
2013,235,Kentavious Caldwell-Pope,SG,20,DET,80,1583,9.4,0.483,0.402,0.133,2.5,8.6,5.4,5,2.4,0.6,5.4,13.9,1,0.8,1.8,0.055,-1.2,-0.8,-2.1,0
